Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
Sci-Fighter,2004,PG-13,17 May 2005,90 min,"Action, Sci-Fi",Art Camacho,Thomas Callicoat,"Don Wilson, Cynthia Rothrock, Lorenzo Lamas",A computer virus has invaded a virtual reality fighting game leaving a rebellious teen trapped within. Now the boy's father must enter the tainted program and battle his way through a deadly maze of martial arts fighters to save h...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTUwMzIzNDgwNV5BMl5BanBnXkFtZTYwMDk1MTY2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.6/10'}]",N/A,2.6,688,tt0390463,movie,17 May 2005,N/A,MTI Home Video,N/A,True,
Sci-fighters,1996,R,30 Dec 1996,94 min,Sci-Fi,Peter Svatek,Mark Sevi,"Roddy Piper, Jayne Heitmeyer, Billy Drago, Tyrone Benskin","Boston, 2009. A police detective (Roddy Piper) searches for Adrian Dunn, his ex-partner (Billy Drago) who murdered his wife. Dunn has escaped from prison on the moon and returned to Earth ...",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMTkxNzAxMDI4M15BMl5BanBnXkFtZTcwNDMxNTQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,537,tt0117566,movie,26 Jul 2020,N/A,N/A,N/A,True,
Not Another Sci-Fi Movie,2013,Not Rated,N/A,90 min,"Comedy, Sci-Fi",Ryan Humphries,Ryan Humphries,"Janielle Atherton, Anna Peck","A mysterious ball of light and fire falls from the sky and crashes in the woods outside a small rural vacation cottage in Crows End where Brad, Adrian, Rachael, and Jessica have come for a relaxing weekend retreat. Unknowingly the...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjA2NjM3NjIzM15BMl5BanBnXkFtZTgwMTEyNDQxNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.3/10'}]",N/A,2.3,99,tt4796190,movie,22 Mar 2016,N/A,N/A,N/A,True,
Sci Fi Science: Physics of the Impossible,2009–,TV-G,26 Oct 2008,45 min,"Documentary, Reality-TV",N/A,N/A,"Michio Kaku, Zorikh Lequidre, Luke Crowe","What first appears to be a send-up of classic science fiction is in fact a thorough examination of the real-world science behind the sensationalism. In the pilot episode, the physics behind a hypothetical alien invasion are explai...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTYwNjQ3NDUwMV5BMl5BanBnXkFtZTgwOTI2MzcwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,384,tt1358355,series,,,,,True,2
Thriller 40,2023,N/A,02 Dec 2023,90 min,"Documentary, Music",Nelson George,N/A,"Mary J. Blige, John Branca, Misty Copeland","Follows the making of Michael Jackson's record-breaking album ""Thriller"".",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2E4ZmRkNTctYzI5Yy00M2Q2LTg5N2EtZDZjZmU0MmE4ZDRkXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,392,tt22482764,movie,N/A,N/A,N/A,N/A,True,
Thriller,1960–1962,TV-PG,13 Sep 1960,50 min,"Crime, Drama, Horror",N/A,N/A,"Boris Karloff, Richard Peel, Henry Daniell","Now available for the first time, experience the complete series hailed as the most frightening ever created for television.",English,United States,Nominated for 1 Primetime Emmy. 5 nominations total,https://m.media-amazon.com/images/M/MV5BZTFjM2E3ZDYtNTIzZi00YTdlLWIwYTYtMmVlMDM0ZjhjYzZjXkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,"1,623",tt0053546,series,,,,,True,2
Thriller: A Cruel Picture,1973,R,05 Jun 1974,104 min,"Action, Crime, Drama",Bo Arne Vibenius,Bo Arne Vibenius,"Christina Lindberg, Heinz Hopf, Despina Tomazani","A young woman, rendered mute after a childhood sexual assault, is trained to seek violent revenge on those who kidnapped and forced her into prostitution.",Swedish,Sweden,N/A,https://m.media-amazon.com/images/M/MV5BZGY5YmExMGItY2M4OS00ZTRiLWI2MDgtNjVkOTFlNTk1OGY1XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,6.4,"8,312",tt0072285,movie,N/A,N/A,N/A,N/A,True,
Michael Jackson: Thriller,1983,PG,14 Dec 1983,13 min,"Short, Horror, Music",John Landis,"John Landis, Michael Jackson","Michael Jackson, Ola Ray","A night at the movies turns into a nightmare when Michael and his date are attacked by a hoard of bloodthirsty zombies - only a ""Thriller"" can save them now.",English,USA,6 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BODhhZjJlYTktZDQ2MS00Yzk4LWFlOTQtYTgyOGE1ZGE5YWEyL2ltYWdlXkEyXkFqcGdeQXVyMzA5MjgyMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,"16,013",tt0088263,movie,N/A,N/A,N/A,N/A,True,
Shrek: Thriller Night,2011,TV-Y7,13 Sep 2011,6 min,"Animation, Short, Comedy","Sean Bishop, Gary Trousdale","Sean Bishop, Elaine Rogan, David Feiss","Michael Gough, Dean Edwards, Holly Fields","Shrek is bored on Halloween, and wants to have something scary. The power of Thriller gives him more than he bargained for.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDFhOGVlY2MtMGVlYS00OTdjLThkNzYtOTMwMDExMTA0YjQ3XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,974,tt2051999,movie,N/A,N/A,N/A,N/A,True,
Armchair Thriller,1978–1981,N/A,21 Feb 1978,25 min,"Crime, Drama, Horror",N/A,Andrew Brown,"Frank Duncan, James Bolam, Maria Aitken",Suspense and mystery-themed anthology series.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNjc3MjM5MWEtMDUwOS00Yzc5LWI4YjQtMDVhMTI2NzI5MjU2XkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,243,tt0969784,series,,,,,True,2
Pornography: A Thriller,2009,Unrated,08 Jul 2010,113 min,"Crime, Horror, Mystery",David Kittredge,David Kittredge,"Matthew Montgomery, Pete Scherer, Jared Grey","A gay porn star's mysterious disappearance becomes an obsession for both a writer and another adult film star, leading them into dark supernatural corners that were never meant to be explored.",English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BMTM3MDkwNDM1OV5BMl5BanBnXkFtZTcwNTI1NDk2Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,4.8,595,tt1144811,movie,02 Mar 2017,N/A,N/A,N/A,True,
The Making of 'Thriller',1983,PG,15 Dec 1983,70 min,"Documentary, Music",Jerry Kramer,N/A,"Michael Jackson, John Landis, Rick Baker, Kelly Kimball","From Michael Jackson we take a look behind the ""Thrills"" of Thriller",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjM5MDkwMDg5Nl5BMl5BanBnXkFtZTgwMDI2MjkxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,899,tt0242682,movie,N/A,N/A,Optimum Productions,N/A,True,
Serial Thriller,2015–2016,TV-14,07 Jun 2015,N/A,Thriller,N/A,N/A,"Joseph Millson, Ryan Gage, Tom Durant Pritchard","The SERIAL THRILLER trilogy propels viewers into a chilling true crime story of a real-life serial killer, leaving viewers to unravel the clues, with each character's story serving as a reminder that real people are devastatingly ...",English,"United States, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BY2E0ZDgzNzYtMzNhYS00MTUzLTljZjAtYTY3M2U1MGVkZTZiXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,247,tt4762138,series,,,,,True,3
